v8-version,6,2,414,54,0
shared-library,"/usr/local/bin/node",0x100001800,0x100ba3aaa,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff3629d860,0x7fff364909ac,242761728
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff5c35f94a,0x7fff5c35fb2e,242761728
shared-library,"/usr/lib/libc++.1.dylib",0x7fff5c593f40,0x7fff5c5db2b0,242761728
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff5bfe8f08,0x7fff5bfe990c,242761728
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff5d0bdfd0,0x7fff5d2752e6,242761728
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff5da0e000,0x7fff5da2f65a,242761728
shared-library,"/usr/lib/libz.1.dylib",0x7fff5e4242d0,0x7fff5e42fbe5,242761728
shared-library,"/usr/lib/system/libcache.dylib",0x7fff5e4d1b08,0x7fff5e4d456d,242761728
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff5e4d6c14,0x7fff5e4dfde1,242761728
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff5e4e1ef4,0x7fff5e4e6a8b,242761728
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff5e4ea09c,0x7fff5e4f12dc,242761728
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff5e4f3e80,0x7fff5e558ab9,242761728
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff5e601a58,0x7fff5e62c9ce,242761728
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff5e63b014,0x7fff5e653410,242761728
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff5e658a51,0x7fff5e658e80,242761728
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff5e666fc0,0x7fff5e666fc0,242761728
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff5e6676e8,0x7fff5e66b9dc,242761728
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff5e66d26e,0x7fff5e66eb42,242761728
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff5e66f944,0x7fff5e670c73,242761728
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff5e672748,0x7fff5e687150,242761728
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff5e68985d,0x7fff5e689d0e,242761728
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff5e68b100,0x7fff5e70c18f,242761728
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff5e714e04,0x7fff5e7176c0,242761728
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff5e7192d0,0x7fff5e71b3eb,242761728
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff5e71cfda,0x7fff5e71dc44,242761728
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff5e71ef3c,0x7fff5e7234cd,242761728
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff5e7261f0,0x7fff5e76b41e,242761728
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff5e797140,0x7fff5e7c7143,242761728
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff5e7e3250,0x7fff5e7fc31f,242761728
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff5e803e50,0x7fff5e905068,242761728
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff5e933cff,0x7fff5e93b82e,242761728
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff5e93f148,0x7fff5e94783e,242761728
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff5e95d040,0x7fff5e95f52d,242761728
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff5e960a1f,0x7fff5e961588,242761728
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff5e76ff10,0x7fff5e78d75d,242761728
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff5e948820,0x7fff5e94e38d,242761728
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff5e950f78,0x7fff5e95910e,242761728
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff5e962938,0x7fff5e96831e,242761728
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff5e96b094,0x7fff5e97ac8d,242761728
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff5e97f96c,0x7fff5e9842a7,242761728
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff5e986d08,0x7fff5e9a792a,242761728
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff5be24e80,0x7fff5be4f689,242761728
shared-library,"/usr/lib/libc++abi.dylib",0x7fff5c5eb600,0x7fff5c609d64,242761728
tick,0x11114caa8,600,0,0x0,4
profiler,"begin",1000
tick,0x7fff5e94cfc9,1918,0,0x0,4
tick,0x7fff5e94d060,3168,0,0x0,4
code-creation,Stub,3,3746,0x341341332040,2129,"RecordWriteStub"
code-creation,Stub,3,3746,0x341341332900,1225,"RecordWriteStub"
code-creation,Stub,3,3747,0x341341332e40,269,"CEntryStub"
code-creation,Stub,3,3748,0x341341332fc0,2100,"RecordWriteStub"
code-creation,Stub,3,3748,0x341341333860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3749,0x3413413339a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3749,0x341341333b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,3750,0x341341333e60,2091,"RecordWriteStub"
code-creation,Stub,3,3751,0x341341334700,2130,"RecordWriteStub"
code-creation,Handler,4,3751,0x341341334fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,3752,0x3413413350c0,2076,"RecordWriteStub"
code-creation,Stub,3,3753,0x341341335940,884,"RecordWriteStub"
code-creation,Stub,3,3753,0x341341335d20,331,"CallApiGetterStub"
code-creation,Stub,3,3754,0x341341335ee0,261,"MathPowStub"
code-creation,Stub,3,3754,0x341341336060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3755,0x341341336200,2091,"RecordWriteStub"
code-creation,Stub,3,3756,0x341341336aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3756,0x341341336be0,2134,"RecordWriteStub"
code-creation,Stub,3,3757,0x3413413374a0,2126,"RecordWriteStub"
code-creation,Stub,3,3758,0x341341337d60,1207,"RecordWriteStub"
code-creation,Stub,3,3758,0x341341338280,2079,"RecordWriteStub"
code-creation,Stub,3,3759,0x341341338b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3759,0x341341338d00,2099,"RecordWriteStub"
code-creation,Stub,3,3760,0x3413413395a0,2160,"RecordWriteStub"
code-creation,Stub,3,3761,0x341341339e80,2088,"RecordWriteStub"
code-creation,Stub,3,3761,0x34134133a720,89,"DoubleToIStub"
code-creation,Stub,3,3762,0x34134133a7e0,2118,"RecordWriteStub"
code-creation,Stub,3,3762,0x34134133b0a0,2104,"RecordWriteStub"
code-creation,Handler,4,3763,0x34134133b940,132,"An IC handler from the snapshot"
code-creation,Stub,3,3764,0x34134133ba40,87,"DoubleToIStub"
code-creation,Stub,3,3764,0x34134133bb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3765,0x34134133bcc0,2100,"RecordWriteStub"
code-creation,Handler,4,3766,0x34134133c560,612,"An IC handler from the snapshot"
code-creation,Stub,3,3766,0x34134133c840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3767,0x34134133c9e0,2118,"RecordWriteStub"
code-creation,Stub,3,3768,0x34134133d2a0,2091,"RecordWriteStub"
code-creation,Stub,3,3768,0x34134133db40,2087,"RecordWriteStub"
code-creation,Stub,3,3769,0x34134133e3e0,2145,"RecordWriteStub"
code-creation,Stub,3,3770,0x34134133ecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,3770,0x34134133ef60,884,"RecordWriteStub"
code-creation,Stub,3,3771,0x34134133f340,2088,"RecordWriteStub"
code-creation,Stub,3,3771,0x34134133fbe0,2087,"RecordWriteStub"
code-creation,Stub,3,3772,0x341341340480,2088,"RecordWriteStub"
code-creation,Stub,3,3773,0x341341340d20,308,"CEntryStub"
code-creation,Stub,3,3773,0x341341340ec0,2130,"RecordWriteStub"
code-creation,Stub,3,3774,0x341341341780,2130,"RecordWriteStub"
code-creation,Stub,3,3775,0x341341342040,2148,"RecordWriteStub"
code-creation,Stub,3,3777,0x341341342920,2118,"RecordWriteStub"
code-creation,Stub,3,3778,0x3413413431e0,2075,"RecordWriteStub"
code-creation,Stub,3,3779,0x341341343a60,1246,"RecordWriteStub"
code-creation,Handler,4,3779,0x341341343fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,3780,0x341341344260,2126,"RecordWriteStub"
code-creation,Stub,3,3781,0x341341344b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3781,0x341341344c60,2063,"RecordWriteStub"
code-creation,Stub,3,3782,0x3413413454e0,2100,"RecordWriteStub"
code-creation,Stub,3,3782,0x341341345d80,2103,"RecordWriteStub"
code-creation,Handler,4,3783,0x341341346620,552,"An IC handler from the snapshot"
code-creation,Stub,3,3784,0x3413413468c0,896,"RecordWriteStub"
code-creation,Stub,3,3784,0x341341346ca0,2100,"RecordWriteStub"
code-creation,Stub,3,3785,0x341341347540,2104,"RecordWriteStub"
code-creation,Stub,3,3786,0x341341347de0,1246,"RecordWriteStub"
code-creation,Stub,3,3786,0x341341348320,2100,"RecordWriteStub"
code-creation,Stub,3,3787,0x341341348bc0,2072,"RecordWriteStub"
code-creation,Stub,3,3787,0x341341349440,2099,"RecordWriteStub"
code-creation,Stub,3,3788,0x341341349ce0,2134,"RecordWriteStub"
code-creation,Stub,3,3789,0x34134134a5a0,2104,"RecordWriteStub"
code-creation,Stub,3,3789,0x34134134ae40,2100,"RecordWriteStub"
code-creation,Stub,3,3790,0x34134134b6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,3791,0x34134134b8a0,25,"Abort"
code-creation,Stub,3,3791,0x34134134b920,2114,"RecordWriteStub"
code-creation,Builtin,5,3792,0x34134134c1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,3792,0x34134134c260,28,"ReturnReceiver"
code-creation,Builtin,5,3795,0x34134134c2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,3798,0x34134134c500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,3799,0x34134134c660,223,"CreateIterResultObject"
code-creation,Builtin,5,3799,0x34134134c7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,3800,0x34134134c9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,3801,0x34134134cc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,3803,0x34134134d2a0,76,"ToBoolean"
code-creation,Builtin,5,3804,0x34134134d360,3876,"ResolveNativePromise"
code-creation,Builtin,5,3805,0x34134134e300,284,"StringEqual"
code-creation,Builtin,5,3806,0x34134134e480,5140,"PerformNativePromiseThen"
code-creation,Builtin,5,3806,0x34134134f900,668,"RejectNativePromise"
code-creation,Builtin,5,3807,0x34134134fc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,3808,0x341341350460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,3808,0x341341350b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,3809,0x341341350f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,3810,0x341341351120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,3811,0x3413413512c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,3811,0x3413413513a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,3812,0x341341351880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,3813,0x341341351c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,3813,0x341341352080,15,"Illegal"
code-creation,Builtin,5,3814,0x341341352100,15,"ObjectAssign"
code-creation,Builtin,5,3815,0x341341352180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,3816,0x341341352200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,3816,0x341341352280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,3817,0x341341352300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,3818,0x341341352380,15,"ObjectIs"
